tax_number,year,registration_number,is_sole_trader,sme_category,org_name,org_short_name,main_nace_code,region_iso_code,region_code,region,area,settlement,settlement_type,municipality_code,lat,lon,start_date,end_date,revenue,expenditure,employees_count
274187858,2024,1140280034620,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НГП ИНФОРМ""","ООО ""НГП ИНФОРМ""",62.09,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2016-08-10,2025-06-10,261192000.0,157778000.0,50.0
274191043,2024,1140280060788,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГО АУДИТ""","ООО ""ЭНЕРГО АУДИТ""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2023-07-10,2025-06-10,263559008.0,122675000.0,53.0
274191220,2024,1140280062383,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСУ-ИНЖИНИРИНГ""","ООО ""АСУ-ИНЖИНИРИНГ""",62.09,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2022-11-10,2025-06-10,254240992.0,219791008.0,85.0
274191484,2024,1140280064330,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЫСОКИЕ ТЕХНОЛОГИИ""","ООО ""ВТ""",63.11,RU-MOW,77.0,Москва,,Москва,г,45000000.0,55.75396,37.62039,2021-07-10,2025-06-10,216364000.0,195255008.0,39.0
274192696,2024,1140280074000,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСКРА-УФА""","ООО ""ИСКРА-УФА""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2019-08-10,2024-12-10,171968992.0,169312992.0,18.0
274192696,2024,1140280074000,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСКРА-УФА""","ООО ""ИСКРА-УФА""",62.01,RU-BA,2.0,Республика Башкортостан,Уфимский район,Зубово,с,80652420101.0,54.617947,55.90744,2024-12-10,2025-06-10,171968992.0,169312992.0,18.0
274922889,2024,1160280137820,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНЫЙ ПРОЕКТНЫЙ ЦЕНТР ""ВИРТЭК""","ООО НПЦ ""ВИРТЭК""",62.03,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2020-02-10,2025-06-10,128552000.0,74967000.0,40.0
274931428,2024,1170280068375,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВАЛЬ""","ООО ""АВАЛЬ""",62.09,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2023-12-10,2025-06-10,116236000.0,43896000.0,1.0
274939441,2024,1180280044691,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРПОРАЦИЯ ПРОФИТ""","ООО ""КОРПОРАЦИЯ ПРОФИТ""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2018-08-10,2025-06-10,111660000.0,82903000.0,30.0
274945082,2024,1190280019478,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САМОЛЕТ ПЛЮС АГЕНТ""","ООО ""САМОЛЕТ ПЛЮС АГЕНТ""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2023-09-10,2025-06-10,113774000.0,121625000.0,48.0
274964159,2024,1210200012593,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОБЛАКО 365""","ООО ""ОБЛАКО 365""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2021-04-10,2025-06-10,116967000.0,88815000.0,56.0
274971438,2024,1220200009556,0,2,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДИДЖИТАЛ ИНЖИНИРИНГ ТЕХНОЛОДЖИ""","АО ""ДИТ""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2023-07-10,2025-06-10,175787008.0,144040992.0,66.0
274972262,2024,1220200015837,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВАХЭЛП""","ООО ""ВАХЭЛП""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2022-06-10,2025-06-10,161231008.0,158536000.0,40.0
274980707,2024,1230200028277,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАШ ВИАР""","ООО ""НАШ ВИАР""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2023-09-10,2025-06-10,253050000.0,205404992.0,0.0
275056840,2024,1060275018374,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОЗНА-ДИДЖИТАЛ СОЛЮШНС""","ООО ""ОЗНА-ДИДЖИТАЛ СОЛЮШНС""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2023-07-10,2025-06-10,338767008.0,335617984.0,136.0
275065098,2024,1080275002389,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР ""ГЕОТЭК""","ООО НПЦ ""ГЕОТЭК""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2016-08-10,2025-06-10,229155008.0,132226000.0,24.0
275074568,2024,1110280040166,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НГТ-ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ""","ООО ""НГТ-ИТ""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2021-04-10,2025-06-10,186711008.0,139832992.0,69.0
275076580,2024,1120280010212,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИНЕРДЖИ СОФТ""","ООО ""СИНСОФТ""",62.09,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2016-08-10,2025-06-10,270478016.0,252136000.0,11.0
275901779,2024,1150280030812,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКБЕР-СОФТ""","ООО ""АКБЕР-СОФТ""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2016-08-10,2024-07-10,130273000.0,111535000.0,41.0
275901779,2024,1150280030812,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКБЕР-СОФТ""","ООО ""АКБЕР-СОФТ""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2024-07-10,2025-06-10,130273000.0,111535000.0,41.0
275905251,2024,1160280054879,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДИПЛАЙН""","ООО ""ДИПЛАЙН""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2023-12-10,2025-06-10,487310016.0,486260992.0,17.0
275906985,2024,1160280091443,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНЫЙ ЦЕНТР СИСТЕМ БЕЗОПАСНОСТИ""","ООО ""ИЦСБ""",63.11.1,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2021-07-10,2025-06-10,350675008.0,344008000.0,53.0
275912185,2024,1170280053019,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНЫЙ СТАПЕЛЬ""","ООО ""ИС""",58.29,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2017-10-10,2024-06-10,6239205900.0,6059134000.0,10.0
275931220,2024,1230200030565,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭДСЕЛЛЕР""","ООО ""ЭДСЕЛЛЕР""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2023-09-10,2025-06-10,122056000.0,101969000.0,4.0
276059386,2024,1020202860611,0,1,"АКЦИОНЕРНОЕ ОБЩЕСТВО НАУЧНО-ПРОИЗВОДСТВЕННАЯ ФИРМА ""ЭЛИКОМ""","АО НПФ ""ЭЛИКОМ""",62.09,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2022-10-10,2025-06-10,160024992.0,128529000.0,12.0
276060279,2024,1020202856794,0,2,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮНИСОФТ""","ЗАО ""ЮНИСОФТ""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2017-08-10,2025-06-10,143088000.0,116918000.0,20.0
276063625,2024,1020202868410,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАШТЕЛЕИНФОРМ""","ООО ""БАШТЕЛЕИНФОРМ""",62.09,RU-UD,18.0,Удмуртская республика,,Ижевск,г,94701000001.0,56.852776,53.211464,2022-03-10,2025-06-10,121099000.0,75876000.0,16.0
276098297,2024,1060276005613,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМУК-ПРЕСС""","ООО ""СМУК-ПРЕСС""",58.11,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2022-07-10,2025-06-10,109073000.0,73689000.0,13.0
276130180,2024,1110280000335,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСКРА-ПРО""","ООО ""ИСКРА-ПРО""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2016-08-10,2025-06-10,125824000.0,63555000.0,39.0
276133840,2024,1110280037636,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОМПАНИЯ ПРАВА ""РЕСПЕКТ""","ООО КП ""РЕСПЕКТ""",63.11,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2017-12-10,2025-06-10,162744000.0,152672992.0,68.0
276902493,2024,1150280018239,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАКСИМ-УФА""","ООО ""МАКСИМ-УФА""",62.09,RU-BA,2.0,Республика Башкортостан,,Нефтекамск,г,80727000001.0,56.0884,54.248253,2020-01-10,2025-06-10,163384000.0,116202000.0,3.0
276916954,2024,1160280118536,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САППОРТ ЛАБ""","ООО ""САППОРТ ЛАБ""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2016-11-10,2025-06-10,204028992.0,189402000.0,9.0
276917933,2024,1160280127787,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИРА""","ООО  ""ЛИРА""",62.09,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2016-12-10,2025-06-10,159944992.0,140284992.0,23.0
276919747,2024,1170280008029,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОГРЕСС""","ООО ""ПРОГРЕСС""",62.01,RU-KL,8.0,Республика Калмыкия,,Элиста,г,85701000001.0,46.308308,44.27018,2023-10-10,2024-01-10,149532000.0,111889000.0,2.0
276935587,2024,1180280053117,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТАВР""","ООО ""ЦЕНТАВР""",62.09,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2018-10-10,2024-07-10,196852992.0,165244000.0,15.0
276935587,2024,1180280053117,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТАВР""","ООО ""ЦЕНТАВР""",62.09,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2024-07-10,2025-06-10,196852992.0,165244000.0,15.0
276944133,2024,1190280048419,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГИ-ОНЛАЙН""","ООО ""ТОРГИ-ОНЛАЙН""",63.11.1,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2020-01-10,2025-06-10,101268000.0,67696000.0,17.0
276959845,2024,1210200007819,0,1,"АКЦИОНЕРНОЕ ОБЩЕСТВО НАУЧНО-ИНВЕСТИЦИОННАЯ КОМПАНИЯ ""ОНИКС""","АО НАУЧНО-ИНВЕСТИЦИОННАЯ КОМПАНИЯ ""ОНИКС""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2022-04-10,2025-06-10,268928992.0,157704992.0,1.0
276977435,2024,1230200037451,0,1,"АКЦИОНЕРНОЕ ОБЩЕСТВО ИНЖЕНЕРНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""ДИАСПРО""","АО ИПП ""ДИАСПРО""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2023-11-10,2025-06-10,145951008.0,135754000.0,20.0
277128392,2024,1130280020650,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ""","ООО ""ЦЕНТР ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ""",62.09,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2023-07-10,2025-06-10,145547008.0,138972992.0,22.0
277945690,2024,1190280075523,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЕ СИСТЕМЫ""","ООО ""ТОРГОВЫЕ СИСТЕМЫ""",63.11,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2023-12-10,2025-06-10,751993020.0,722782020.0,4.0
278082704,2024,1030204584035,0,1,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АИР-СОФТ""","ООО ""АИР-СОФТ""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2016-08-10,2025-06-10,125083000.0,125013000.0,7.0
278085342,2024,1030204602010,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННАЯ ФИРМА ""ЭКСИТОН-АВТОМАТИКА""","ООО НПФ ""ЭКСИТОН-АВТОМАТИКА""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2023-01-10,2025-06-10,2674757120.0,2567531010.0,294.0
278095326,2024,1030204624889,0,3,"НЕПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИБКОМ""","АО ""СИБКОМ""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2022-11-10,2025-06-10,1764727040.0,1678823040.0,191.0
278101474,2024,1040204597619,0,3,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""АВИАТРОН""","ООО ""НПП ""АВИАТРОН""",62.01,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2020-10-10,2025-06-10,1865958020.0,1719179010.0,235.0
278160590,2024,1090280022777,0,2,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕГИОН""","ООО ""РЕГИОН""",62.09,RU-BA,2.0,Республика Башкортостан,,Уфа,г,80701000001.0,54.734856,55.957855,2022-07-10,2025-06-10,261826000.0,196128992.0,60.0
